Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Month,DayOfWeek
300-71-4605,c,naypyitaw,member,male,electronic accessories,0.845,0.444,0.469,0.469,2019-02-25,11:24,ewallet,0.469,0.0,0.469,0.133,February,Monday
371-85-5789,b,mandalay,normal,male,health and beauty,0.867,0.222,0.283,0.283,2019-03-05,10:40,ewallet,0.283,0.0,0.283,0.183,March,Tuesday
273-16-6619,b,mandalay,normal,male,home and lifestyle,0.257,0.111,0.063,0.063,2019-03-15,12:20,credit card,0.063,0.0,0.063,0.067,March,Friday
636-48-8204,a,yangon,normal,male,electronic accessories,0.272,0.444,0.181,0.181,2019-02-17,11:15,ewallet,0.181,0.0,0.181,0.983,February,Sunday
549-59-1358,a,yangon,member,male,sports and travel,0.874,0.222,0.285,0.285,2019-03-02,17:36,ewallet,0.285,0.0,0.285,0.333,March,Saturday
227-03-5010,a,yangon,member,female,home and lifestyle,0.473,0.778,0.458,0.458,2019-03-22,19:20,credit card,0.458,0.0,0.458,0.75,March,Friday
649-29-6775,b,mandalay,normal,male,fashion accessories,0.261,0.0,0.026,0.026,2019-02-08,15:31,cash,0.026,0.0,0.026,0.45,February,Friday
189-17-4241,a,yangon,normal,female,fashion accessories,0.863,0.111,0.184,0.184,2019-03-10,12:17,credit card,0.184,0.0,0.184,0.617,March,Sunday
145-94-9061,b,mandalay,normal,female,food and beverages,0.871,0.444,0.482,0.482,2019-01-25,19:48,cash,0.482,0.0,0.482,0.933,January,Friday
848-62-7243,a,yangon,normal,male,health and beauty,0.165,0.889,0.239,0.239,2019-03-15,15:36,cash,0.239,0.0,0.239,0.567,March,Friday
871-79-8483,b,mandalay,normal,male,fashion accessories,0.935,0.444,0.514,0.514,2019-02-25,19:39,credit card,0.514,0.0,0.514,0.133,February,Monday
149-71-6266,b,mandalay,member,male,sports and travel,0.756,0.889,0.773,0.773,2019-01-28,12:43,cash,0.773,0.0,0.773,0.083,January,Monday
640-49-2076,b,mandalay,normal,male,sports and travel,0.82,0.778,0.736,0.736,2019-01-10,14:49,cash,0.736,0.0,0.736,0.183,January,Thursday
595-11-5460,a,yangon,normal,male,health and beauty,0.962,0.111,0.204,0.204,2019-03-15,10:12,credit card,0.204,0.0,0.204,0.183,March,Friday
183-56-6882,c,naypyitaw,member,female,food and beverages,0.994,0.333,0.432,0.432,2019-02-06,10:42,ewallet,0.432,0.0,0.432,0.583,February,Wednesday
232-16-2483,c,naypyitaw,member,female,sports and travel,0.646,0.0,0.065,0.065,2019-01-07,12:28,ewallet,0.065,0.0,0.065,0.467,January,Monday
129-29-8530,a,yangon,member,male,sports and travel,0.585,0.444,0.338,0.338,2019-03-10,19:15,ewallet,0.338,0.0,0.338,0.5,March,Sunday
272-65-1806,a,yangon,normal,female,electronic accessories,0.565,0.889,0.6,0.6,2019-01-15,17:17,ewallet,0.6,0.0,0.6,0.117,January,Tuesday
333-73-7901,c,naypyitaw,normal,female,health and beauty,0.499,0.778,0.479,0.479,2019-03-23,13:24,ewallet,0.479,0.0,0.479,0.6,March,Saturday
777-82-7220,b,mandalay,member,male,home and lifestyle,0.223,0.778,0.257,0.257,2019-03-03,13:01,cash,0.257,0.0,0.257,0.617,March,Sunday
280-35-5823,b,mandalay,member,female,home and lifestyle,0.853,0.0,0.085,0.085,2019-01-17,18:45,ewallet,0.085,0.0,0.085,0.65,January,Thursday
554-53-8700,c,naypyitaw,member,male,home and lifestyle,0.512,0.111,0.114,0.114,2019-02-02,10:11,cash,0.114,0.0,0.114,0.383,February,Saturday
354-25-5821,b,mandalay,member,female,sports and travel,0.657,0.556,0.451,0.451,2019-02-08,13:03,cash,0.451,0.0,0.451,0.267,February,Friday
228-96-1411,c,naypyitaw,member,female,food and beverages,0.986,0.778,0.87,0.87,2019-03-04,20:39,cash,0.87,0.0,0.87,0.6,March,Monday
617-15-4209,c,naypyitaw,member,male,health and beauty,0.059,0.111,0.023,0.023,2019-03-16,19:47,cash,0.023,0.0,0.023,0.533,March,Saturday
132-32-9879,b,mandalay,member,female,electronic accessories,0.933,0.333,0.408,0.408,2019-03-09,18:00,cash,0.408,0.0,0.408,0.917,March,Saturday
370-41-7321,b,mandalay,member,male,health and beauty,0.519,0.889,0.558,0.558,2019-02-27,17:24,credit card,0.558,0.0,0.558,0.733,February,Wednesday
727-46-3608,b,mandalay,member,female,food and beverages,0.11,0.889,0.19,0.19,2019-02-06,15:47,ewallet,0.19,0.0,0.19,0.017,February,Wednesday
669-54-1719,b,mandalay,member,male,electronic accessories,0.098,0.556,0.115,0.115,2019-02-10,12:45,credit card,0.115,0.0,0.115,0.683,February,Sunday
574-22-5561,c,naypyitaw,member,female,fashion accessories,0.807,1.0,0.911,0.911,2019-03-19,17:08,ewallet,0.911,0.0,0.911,0.65,March,Tuesday
326-78-5178,c,naypyitaw,member,male,food and beverages,0.905,0.667,0.702,0.702,2019-02-03,10:19,cash,0.702,0.0,0.702,0.917,February,Sunday
162-48-8011,a,yangon,member,female,food and beverages,0.384,0.444,0.237,0.237,2019-02-10,15:10,cash,0.237,0.0,0.237,0.75,February,Sunday
616-24-2851,b,mandalay,member,female,fashion accessories,0.087,0.333,0.068,0.068,2019-03-22,14:42,ewallet,0.068,0.0,0.068,0.417,March,Friday
778-71-5554,c,naypyitaw,member,male,fashion accessories,0.06,0.0,0.006,0.006,2019-01-25,15:46,credit card,0.006,0.0,0.006,0.35,January,Friday
242-55-6721,b,mandalay,normal,male,home and lifestyle,0.068,0.111,0.025,0.025,2019-03-07,11:49,ewallet,0.025,0.0,0.025,0.417,March,Thursday
399-46-5918,c,naypyitaw,normal,female,electronic accessories,0.844,0.778,0.756,0.756,2019-02-28,19:01,cash,0.756,0.0,0.756,0.7,February,Thursday
106-35-6779,a,yangon,member,male,home and lifestyle,0.381,0.111,0.088,0.088,2019-03-27,11:26,cash,0.088,0.0,0.088,0.3,March,Wednesday
635-40-6220,a,yangon,normal,male,health and beauty,0.885,0.778,0.788,0.788,2019-02-07,11:28,ewallet,0.788,0.0,0.788,0.433,February,Thursday
817-48-8732,a,yangon,member,female,home and lifestyle,0.693,1.0,0.796,0.796,2019-01-20,15:55,cash,0.796,0.0,0.796,0.233,January,Sunday
120-06-4233,c,naypyitaw,normal,male,electronic accessories,0.228,0.556,0.194,0.194,2019-03-12,20:36,cash,0.194,0.0,0.194,0.883,March,Tuesday
285-68-5083,c,naypyitaw,member,female,sports and travel,0.163,0.222,0.071,0.071,2019-02-15,17:47,credit card,0.071,0.0,0.071,1.0,February,Friday
803-83-5989,c,naypyitaw,normal,male,home and lifestyle,0.508,0.556,0.362,0.362,2019-02-24,10:55,ewallet,0.362,0.0,0.362,0.5,February,Sunday
347-34-2234,b,mandalay,member,female,sports and travel,0.501,0.889,0.542,0.542,2019-02-03,13:40,ewallet,0.542,0.0,0.542,1.0,February,Sunday
199-75-8169,a,yangon,member,male,sports and travel,0.064,1.0,0.165,0.165,2019-03-06,12:27,credit card,0.165,0.0,0.165,0.767,March,Wednesday
853-23-2453,b,mandalay,member,male,health and beauty,0.731,0.333,0.327,0.327,2019-02-14,14:35,cash,0.327,0.0,0.327,0.6,February,Thursday
877-22-3308,a,yangon,member,male,health and beauty,0.064,1.0,0.166,0.166,2019-03-13,16:40,cash,0.166,0.0,0.166,0.3,March,Wednesday
838-78-4295,c,naypyitaw,normal,female,health and beauty,0.26,0.111,0.063,0.063,2019-02-10,15:43,ewallet,0.063,0.0,0.063,0.45,February,Sunday
109-28-2512,b,mandalay,member,female,fashion accessories,0.974,0.556,0.642,0.642,2019-01-07,15:01,ewallet,0.642,0.0,0.642,0.983,January,Monday
232-11-3025,a,yangon,normal,male,sports and travel,0.764,1.0,0.867,0.867,2019-01-24,10:04,cash,0.867,0.0,0.867,0.4,January,Thursday
382-03-4532,a,yangon,member,female,health and beauty,0.092,0.0,0.009,0.009,2019-02-02,18:50,cash,0.009,0.0,0.009,0.05,February,Saturday
393-65-2792,c,naypyitaw,normal,male,food and beverages,0.883,1.0,0.987,0.987,2019-01-06,12:46,credit card,0.987,0.0,0.987,0.933,January,Sunday
796-12-2025,c,naypyitaw,normal,male,fashion accessories,0.579,1.0,0.682,0.682,2019-02-11,16:19,cash,0.682,0.0,0.682,0.317,February,Monday
510-95-6347,b,mandalay,member,female,food and beverages,0.428,0.222,0.151,0.151,2019-03-05,18:17,ewallet,0.151,0.0,0.151,0.0,March,Tuesday
841-35-6630,c,naypyitaw,normal,female,electronic accessories,0.732,0.556,0.497,0.497,2019-03-09,18:21,cash,0.497,0.0,0.497,0.783,March,Saturday
287-21-9091,a,yangon,normal,male,home and lifestyle,0.719,0.889,0.738,0.738,2019-01-22,10:55,ewallet,0.738,0.0,0.738,0.9,January,Tuesday
732-94-0499,c,naypyitaw,normal,female,electronic accessories,0.351,1.0,0.453,0.453,2019-01-13,17:04,credit card,0.453,0.0,0.453,0.233,January,Sunday
263-10-3913,c,naypyitaw,member,male,fashion accessories,0.433,0.889,0.481,0.481,2019-01-09,14:20,credit card,0.481,0.0,0.481,0.767,January,Wednesday
381-20-0914,a,yangon,member,female,fashion accessories,0.11,0.889,0.19,0.19,2019-01-12,15:48,credit card,0.19,0.0,0.19,0.283,January,Saturday
829-49-1914,c,naypyitaw,member,female,food and beverages,0.759,1.0,0.862,0.862,2019-03-05,16:24,ewallet,0.862,0.0,0.862,0.433,March,Tuesday
756-01-7507,c,naypyitaw,normal,female,health and beauty,0.115,0.444,0.102,0.102,2019-01-22,18:56,cash,0.102,0.0,0.102,0.333,January,Tuesday
870-72-4431,c,naypyitaw,normal,female,health and beauty,0.991,0.556,0.653,0.653,2019-01-21,14:42,credit card,0.653,0.0,0.653,0.25,January,Monday
847-38-7188,b,mandalay,normal,female,food and beverages,0.964,0.222,0.312,0.312,2019-01-26,19:56,ewallet,0.312,0.0,0.312,0.4,January,Saturday
480-63-2856,c,naypyitaw,normal,male,food and beverages,0.102,0.778,0.16,0.16,2019-01-23,18:37,ewallet,0.16,0.0,0.16,0.433,January,Wednesday
787-56-0757,c,naypyitaw,member,female,food and beverages,0.782,0.333,0.347,0.347,2019-02-23,18:45,credit card,0.347,0.0,0.347,0.717,February,Saturday
360-39-5055,c,naypyitaw,member,male,sports and travel,0.432,0.444,0.261,0.261,2019-03-09,10:17,cash,0.261,0.0,0.261,0.433,March,Saturday
730-50-9884,c,naypyitaw,normal,female,sports and travel,0.812,0.667,0.637,0.637,2019-03-05,14:31,ewallet,0.637,0.0,0.637,0.0,March,Tuesday
362-58-8315,c,naypyitaw,normal,male,fashion accessories,0.739,0.444,0.416,0.416,2019-03-25,10:23,cash,0.416,0.0,0.416,0.983,March,Monday
633-44-8566,a,yangon,member,male,food and beverages,0.437,0.667,0.374,0.374,2019-03-27,20:35,credit card,0.374,0.0,0.374,0.55,March,Wednesday
504-35-8843,a,yangon,normal,male,sports and travel,0.36,0.0,0.036,0.036,2019-01-02,16:57,cash,0.036,0.0,0.036,0.283,January,Wednesday
318-68-5053,b,mandalay,normal,female,health and beauty,0.744,0.556,0.504,0.504,2019-02-27,17:55,cash,0.504,0.0,0.504,0.35,February,Wednesday
565-80-5980,c,naypyitaw,member,female,home and lifestyle,0.415,0.333,0.2,0.2,2019-01-23,10:25,cash,0.2,0.0,0.2,0.517,January,Wednesday
225-32-0908,c,naypyitaw,normal,female,sports and travel,0.387,1.0,0.489,0.489,2019-01-26,19:54,ewallet,0.489,0.0,0.489,0.7,January,Saturday
873-51-0671,a,yangon,member,female,sports and travel,0.132,0.667,0.16,0.16,2019-01-10,16:42,ewallet,0.16,0.0,0.16,0.183,January,Thursday
152-08-9985,b,mandalay,member,male,health and beauty,0.604,0.889,0.635,0.635,2019-03-12,12:09,credit card,0.635,0.0,0.635,0.767,March,Tuesday
512-91-0811,c,naypyitaw,normal,male,health and beauty,0.886,0.0,0.089,0.089,2019-02-06,20:05,credit card,0.089,0.0,0.089,0.433,February,Wednesday
594-34-4444,a,yangon,normal,male,electronic accessories,0.969,0.0,0.097,0.097,2019-03-08,20:38,ewallet,0.097,0.0,0.097,0.533,March,Friday
766-85-7061,b,mandalay,normal,male,health and beauty,0.865,1.0,0.969,0.969,2019-03-29,10:25,ewallet,0.969,0.0,0.969,0.183,March,Friday
871-39-9221,c,naypyitaw,normal,female,electronic accessories,0.026,0.556,0.072,0.072,2019-02-09,13:11,cash,0.072,0.0,0.072,0.017,February,Saturday
865-92-6136,a,yangon,normal,male,food and beverages,0.475,0.222,0.165,0.165,2019-03-23,10:16,ewallet,0.165,0.0,0.165,0.883,March,Saturday
733-01-9107,b,mandalay,normal,male,home and lifestyle,0.808,0.556,0.542,0.542,2019-03-05,18:14,cash,0.542,0.0,0.542,0.567,March,Tuesday
163-56-7055,c,naypyitaw,member,male,fashion accessories,0.43,0.0,0.043,0.043,2019-03-26,19:20,cash,0.043,0.0,0.043,0.017,March,Tuesday
189-98-2939,c,naypyitaw,normal,male,fashion accessories,0.762,0.889,0.777,0.777,2019-03-01,13:22,cash,0.777,0.0,0.777,0.533,March,Friday
551-21-3069,c,naypyitaw,normal,female,electronic accessories,0.145,0.889,0.22,0.22,2019-02-01,11:27,cash,0.22,0.0,0.22,0.15,February,Friday
212-62-1842,a,yangon,normal,male,food and beverages,0.536,0.556,0.379,0.379,2019-03-28,16:44,cash,0.379,0.0,0.379,0.983,March,Thursday
716-39-1409,b,mandalay,normal,male,health and beauty,0.226,0.667,0.226,0.226,2019-03-19,18:19,cash,0.226,0.0,0.226,0.667,March,Tuesday
704-48-3927,a,yangon,member,male,electronic accessories,0.874,1.0,0.978,0.978,2019-01-12,14:50,ewallet,0.978,0.0,0.978,0.55,January,Saturday
628-34-3388,c,naypyitaw,normal,male,fashion accessories,0.192,0.556,0.172,0.172,2019-01-05,20:54,credit card,0.172,0.0,0.172,0.65,January,Saturday
630-74-5166,a,yangon,normal,male,sports and travel,0.579,0.556,0.405,0.405,2019-03-22,20:19,cash,0.405,0.0,0.405,0.567,March,Friday
588-01-7461,c,naypyitaw,normal,female,food and beverages,0.266,0.889,0.33,0.33,2019-03-24,10:43,cash,0.33,0.0,0.33,0.033,March,Sunday
861-77-0145,c,naypyitaw,member,male,electronic accessories,0.8,1.0,0.903,0.903,2019-03-03,14:30,cash,0.903,0.0,0.903,0.867,March,Sunday
479-26-8945,b,mandalay,member,female,sports and travel,0.071,0.111,0.025,0.025,2019-02-05,11:32,ewallet,0.025,0.0,0.025,0.1,February,Tuesday
210-67-5886,c,naypyitaw,member,female,health and beauty,0.981,0.222,0.317,0.317,2019-02-05,10:41,credit card,0.317,0.0,0.317,0.633,February,Tuesday
227-78-1148,b,mandalay,normal,female,fashion accessories,0.698,0.667,0.558,0.558,2019-02-15,12:44,cash,0.558,0.0,0.558,0.733,February,Friday
645-44-1170,a,yangon,member,male,home and lifestyle,0.534,0.889,0.572,0.572,2019-01-19,20:07,ewallet,0.572,0.0,0.572,0.05,January,Saturday
237-01-6122,c,naypyitaw,member,female,home and lifestyle,0.787,0.889,0.8,0.8,2019-02-01,20:31,credit card,0.8,0.0,0.8,0.917,February,Friday
225-98-1496,c,naypyitaw,normal,female,fashion accessories,0.188,0.222,0.079,0.079,2019-03-02,13:01,credit card,0.079,0.0,0.079,0.517,March,Saturday
291-32-1427,b,mandalay,member,male,fashion accessories,0.132,0.444,0.111,0.111,2019-03-05,12:29,ewallet,0.111,0.0,0.111,0.217,March,Tuesday
659-65-8956,b,mandalay,member,male,fashion accessories,0.459,0.0,0.046,0.046,2019-01-16,15:26,ewallet,0.046,0.0,0.046,0.2,January,Wednesday
642-32-2990,a,yangon,normal,female,food and beverages,0.01,1.0,0.111,0.111,2019-02-02,20:48,ewallet,0.111,0.0,0.111,0.333,February,Saturday
378-24-2715,b,mandalay,normal,male,home and lifestyle,0.482,0.111,0.108,0.108,2019-01-20,20:38,ewallet,0.108,0.0,0.108,0.017,January,Sunday
638-60-7125,a,yangon,normal,female,electronic accessories,0.996,0.778,0.877,0.877,2019-02-14,17:03,credit card,0.877,0.0,0.877,0.2,February,Thursday
659-36-1684,c,naypyitaw,member,male,sports and travel,0.523,0.667,0.435,0.435,2019-01-12,12:02,credit card,0.435,0.0,0.435,0.417,January,Saturday
219-22-9386,b,mandalay,member,male,sports and travel,1.0,0.889,0.992,0.992,2019-03-09,17:26,credit card,0.992,0.0,0.992,0.033,March,Saturday
336-78-2147,c,naypyitaw,member,male,home and lifestyle,0.599,0.778,0.559,0.559,2019-03-13,19:52,credit card,0.559,0.0,0.559,0.1,March,Wednesday
268-27-6179,b,mandalay,member,female,fashion accessories,0.516,0.778,0.493,0.493,2019-03-09,14:57,ewallet,0.493,0.0,0.493,0.55,March,Saturday
668-90-8900,a,yangon,normal,female,home and lifestyle,0.93,0.667,0.72,0.72,2019-03-10,18:44,credit card,0.72,0.0,0.72,0.083,March,Sunday
870-54-3162,a,yangon,normal,female,sports and travel,0.247,0.444,0.169,0.169,2019-01-27,13:26,cash,0.169,0.0,0.169,0.833,January,Sunday
189-08-9157,c,naypyitaw,normal,female,fashion accessories,0.241,0.889,0.307,0.307,2019-01-08,16:17,credit card,0.307,0.0,0.307,0.317,January,Tuesday
663-86-9076,c,naypyitaw,member,female,food and beverages,0.65,0.778,0.6,0.6,2019-01-08,15:57,ewallet,0.6,0.0,0.6,0.75,January,Tuesday
549-84-7482,b,mandalay,normal,female,sports and travel,0.892,0.889,0.895,0.895,2019-02-08,11:15,ewallet,0.895,0.0,0.895,0.533,February,Friday
191-10-6171,b,mandalay,normal,female,fashion accessories,0.329,0.667,0.298,0.298,2019-01-25,13:18,cash,0.298,0.0,0.298,0.583,January,Friday
802-70-5316,a,yangon,member,female,sports and travel,0.913,0.556,0.605,0.605,2019-03-06,20:34,cash,0.605,0.0,0.605,0.717,March,Wednesday
695-51-0018,b,mandalay,normal,female,sports and travel,0.275,0.333,0.144,0.144,2019-02-10,18:36,cash,0.144,0.0,0.144,0.567,February,Sunday
590-83-4591,b,mandalay,member,male,electronic accessories,0.861,0.556,0.574,0.574,2019-02-17,14:40,credit card,0.574,0.0,0.574,0.8,February,Sunday
483-71-1164,c,naypyitaw,normal,female,health and beauty,0.792,0.556,0.533,0.533,2019-03-08,16:43,ewallet,0.533,0.0,0.533,0.217,March,Friday
597-78-7908,c,naypyitaw,normal,male,fashion accessories,0.892,0.222,0.291,0.291,2019-02-18,19:39,cash,0.291,0.0,0.291,0.367,February,Monday
700-81-1757,a,yangon,normal,female,electronic accessories,0.181,0.444,0.135,0.135,2019-01-18,20:59,credit card,0.135,0.0,0.135,0.8,January,Friday
354-39-5160,a,yangon,member,female,home and lifestyle,0.271,0.556,0.219,0.219,2019-02-18,15:39,cash,0.219,0.0,0.219,0.967,February,Monday
241-72-9525,b,mandalay,normal,male,sports and travel,0.465,1.0,0.568,0.568,2019-02-16,12:21,cash,0.568,0.0,0.568,0.7,February,Saturday
575-30-8091,a,yangon,normal,male,sports and travel,0.694,0.778,0.636,0.636,2019-03-16,19:25,ewallet,0.636,0.0,0.636,0.867,March,Saturday
731-81-9469,c,naypyitaw,member,female,sports and travel,0.887,1.0,0.991,0.991,2019-01-23,13:00,credit card,0.991,0.0,0.991,0.233,January,Wednesday
280-17-4359,c,naypyitaw,member,male,health and beauty,0.895,1.0,0.998,0.998,2019-01-25,13:48,cash,0.998,0.0,0.998,0.683,January,Friday
338-65-2210,c,naypyitaw,member,female,health and beauty,0.651,1.0,0.754,0.754,2019-02-05,19:57,cash,0.754,0.0,0.754,0.85,February,Tuesday
488-25-4221,c,naypyitaw,member,female,food and beverages,0.226,0.0,0.023,0.023,2019-02-22,10:36,credit card,0.023,0.0,0.023,0.733,February,Friday
239-10-7476,a,yangon,normal,female,home and lifestyle,0.755,0.556,0.51,0.51,2019-01-21,16:37,ewallet,0.51,0.0,0.51,0.667,January,Monday
458-41-1477,c,naypyitaw,normal,female,health and beauty,0.403,0.556,0.298,0.298,2019-03-08,17:11,credit card,0.298,0.0,0.298,0.917,March,Friday
685-64-1609,a,yangon,member,female,fashion accessories,0.223,1.0,0.325,0.325,2019-02-10,12:28,ewallet,0.325,0.0,0.325,0.867,February,Sunday
568-90-5112,c,naypyitaw,normal,male,health and beauty,0.624,0.333,0.284,0.284,2019-03-19,12:46,credit card,0.284,0.0,0.284,0.267,March,Tuesday
262-47-2794,b,mandalay,member,male,home and lifestyle,0.687,0.778,0.63,0.63,2019-03-06,15:07,credit card,0.63,0.0,0.63,0.367,March,Wednesday
238-49-0436,a,yangon,normal,male,health and beauty,0.249,0.778,0.278,0.278,2019-03-27,13:48,credit card,0.278,0.0,0.278,0.15,March,Wednesday
608-96-3517,b,mandalay,member,female,fashion accessories,0.906,0.333,0.397,0.397,2019-03-23,19:20,credit card,0.397,0.0,0.397,0.133,March,Saturday
584-86-7256,c,naypyitaw,member,male,sports and travel,0.272,0.667,0.259,0.259,2019-03-11,16:07,credit card,0.259,0.0,0.259,0.55,March,Monday
746-94-0204,a,yangon,normal,male,fashion accessories,0.814,0.889,0.824,0.824,2019-01-29,11:56,credit card,0.824,0.0,0.824,0.567,January,Tuesday
214-17-6927,c,naypyitaw,normal,female,food and beverages,0.071,0.556,0.099,0.099,2019-02-07,18:23,ewallet,0.099,0.0,0.099,0.983,February,Thursday
400-89-4171,c,naypyitaw,normal,female,sports and travel,0.789,0.778,0.711,0.711,2019-01-28,13:05,cash,0.711,0.0,0.711,0.883,January,Monday
782-95-9291,a,yangon,member,male,food and beverages,0.915,0.444,0.503,0.503,2019-02-20,15:55,credit card,0.503,0.0,0.503,0.833,February,Wednesday
279-74-2924,b,mandalay,member,male,electronic accessories,0.691,0.0,0.069,0.069,2019-01-04,19:40,cash,0.069,0.0,0.069,0.35,January,Friday
307-85-2293,b,mandalay,normal,male,home and lifestyle,0.447,0.444,0.269,0.269,2019-03-07,13:58,ewallet,0.269,0.0,0.269,0.95,March,Thursday
743-04-1105,b,mandalay,member,male,health and beauty,0.97,0.889,0.965,0.965,2019-03-30,14:43,ewallet,0.965,0.0,0.965,0.333,March,Saturday
423-57-2993,b,mandalay,normal,male,sports and travel,0.927,0.556,0.614,0.614,2019-03-27,19:18,ewallet,0.614,0.0,0.614,1.0,March,Wednesday
894-41-5205,c,naypyitaw,normal,female,food and beverages,0.368,0.778,0.374,0.374,2019-01-19,19:39,credit card,0.374,0.0,0.374,0.717,January,Saturday
275-28-0149,a,yangon,normal,male,sports and travel,0.596,0.0,0.06,0.06,2019-02-25,16:21,cash,0.06,0.0,0.06,0.333,February,Monday
101-17-6199,a,yangon,normal,male,food and beverages,0.397,0.667,0.346,0.346,2019-03-13,19:44,credit card,0.346,0.0,0.346,0.5,March,Wednesday
423-80-0988,c,naypyitaw,normal,male,sports and travel,0.738,0.111,0.159,0.159,2019-01-30,19:42,ewallet,0.159,0.0,0.159,0.417,January,Wednesday
548-46-9322,b,mandalay,normal,male,food and beverages,0.332,1.0,0.434,0.434,2019-02-20,15:24,credit card,0.434,0.0,0.434,0.317,February,Wednesday
505-02-0892,b,mandalay,member,male,health and beauty,0.361,0.778,0.369,0.369,2019-02-25,14:12,ewallet,0.369,0.0,0.369,0.267,February,Monday
796-32-9050,a,yangon,normal,male,food and beverages,0.458,0.556,0.332,0.332,2019-01-19,16:31,cash,0.332,0.0,0.332,0.417,January,Saturday
105-31-1824,a,yangon,member,male,sports and travel,0.661,0.667,0.532,0.532,2019-02-01,15:10,credit card,0.532,0.0,0.532,0.75,February,Friday
249-42-3782,a,yangon,normal,male,health and beauty,0.667,0.444,0.379,0.379,2019-01-03,11:36,ewallet,0.379,0.0,0.379,0.25,January,Thursday
316-55-4634,b,mandalay,member,male,food and beverages,0.778,0.444,0.435,0.435,2019-01-26,12:45,credit card,0.435,0.0,0.435,0.9,January,Saturday
733-33-4967,c,naypyitaw,normal,male,electronic accessories,0.12,0.778,0.175,0.175,2019-03-03,19:17,cash,0.175,0.0,0.175,0.383,March,Sunday
608-27-6295,b,mandalay,member,male,electronic accessories,0.476,0.556,0.343,0.343,2019-01-19,17:34,credit card,0.343,0.0,0.343,0.967,January,Saturday
414-12-7047,b,mandalay,normal,male,food and beverages,0.108,0.778,0.165,0.165,2019-01-18,12:04,ewallet,0.165,0.0,0.165,0.783,January,Friday
